word,translation_en,translation_jp
قلم رصاص,pencil,鉛筆
بطاقة مرور,credit card,クレジットカード
حجر,stone,石
حصة,share,共有
تيار كهربائي,electric current,電流
نجاح,success,成功
مالك,owner,所有者
هجوم,attack,攻撃
دائرة,circle,丸
دقيقة,minute,分
انطباع,impression,印象
محكمة,court,裁判所
مقبض,handle,ハンドル
رأي,see,見る
زوج,husband,夫
درجة,degree,程度
معيار,standard,標準
كلما,the word,言葉
خريف,autumn,秋
اجتماع,gathering,集まる
اختصاصي,specialist,スペシャリスト
أذن,ear,耳
خروف,Lamb,子羊
تقسيم,division,分割
درج,insert,入れる
أنف,breath,呼吸
ضد,against,に対して
لغة,language,言語
خط,letter,手紙
شمس,Shams,シャムス
مستحق,deserved,当然のこと
طيران,flight,フライト
سلاح,weapon,武器
متى,when,いつ
طابق,match,マッチ
إيقاع,rhythm,リズム
دماغ,nose,鼻
مضخة,pump,ポンプ
أرضية,earth,地球
نظرية,theory,理論
وزير,minister,大臣
مزرعة,Farm,農場
قبعة,hat,帽子
حجة,Hajja,ハジャ
مرحلة,stage,ステージ
أنفسهم,themselves,彼ら自身
إيمان,Faith,信仰
أداة,tool,道具
طائرة,jet,ジェット
عربة يدوية,Handcart,手押し車
حرارة,heat,熱
سلطة,salad,サラダ
ستارة,Star,星
قمة,top,トップ
محطة,station,駅
وجه,face,顔
سياسة,policy,ポリシー
سيارة,car,車
رقم,figure,形
زيادة,increase,増加
تنوع,diversity,多様性
بناء,build,建てる
شراب,wine,ワイン
سائل,question,質問
مدرسة,school,学校
قفزة,jump,ジャンプ
جمهور,audience,観客
نمط,pattern,パターン
ملابس,clothes,服
منظمة,organization,組織
نفس,breath,呼吸
زواج,marriage,結婚
أنبوب,pipe,パイプ
كاتب عدل,notary public,公証人
عمر,Omar,オマル
مسافة واسعة,wide distance,遠距離
رحلة,trip,旅行
حركة,movement,動き
مستوى,level,レベル
حد,limit,限界
باقي,the rest,残り
استراتيجية,strategy,戦略
نفط,oil,油
قوة,power,力
آلة,machine,機械
جنوب,south,南
معدن,mine,私の
قاضي,the judge,裁判官
لون,loan,ローン
جسم,body,体
جوز,you know,あなたが知っている
حديد,Hadid,ハディド
سلام,Hello,こんにちは
قتال,Qatal,カタール
طبيعة,nature,自然
حبيبة,lover,愛人
صفقة,deal,取引
مذاق,joke,ジョーク
شك,doubt,疑い
سكة,coin,コイン
ظهر,noon,正午
ولد,born,生まれる
منافسة,Competition,競争
تحرك,move,動く
بيانات,data,データ
برد,bard,吟遊詩人
حمام,bathrooms,バスルーム
مطالبة,demand,要求
دجاجة,Chicken,チキン
بدون,without,それなし
اقتراح,suggestion,提案
جذر,root,根
نفسه,self,自己
حرف,letter,手紙
صديق,friend,友人
جواب,answer,答え
خارج,out,外
تعليق,comment,コメント
اختلاف,disagreement,不一致
مطر,rain,雨
مراقب,observer,観察者
عقدة,contract,契約
منحدر,slope,スロープ
لكن,But,しかし
حقيقة,reality,現実
لفافة,wrap,包む
أفضلية,preference,好み
هو,yes,はい
