word,translation_en,translation_jp
и,and,そして
в,"in, at, on, within",で、で、上で、中で
не,not,ない
он,he,彼
на,on (place),（場所）に
я,"I, me, myself",私、私、私自身
что,what,何
тот,"that, that one, those, the other",それ、あれ、あれ、もう一つ
быть,to be,なる
с,with,と
а,and (as contrast),そして（対照的に）
весь,village,村
как,how,どうやって
по,"along, down, through, across",沿って、下に、通り抜け、横切って
но,but,しかし
к,towards,に向かって
у,(possession),（所持）
из,from (the inside of),（の内側から）
за,behind,後ろに
так,"so, thus, like this, this way, then",それで、こうして、こうして、こうして、それでは
же,"same, again, already",同じ、また、すでに
сказать,"to say, to tell, to speak, to talk",言う、言う、話す、話す
этот,this,これ
который,"which, that, what",どれ、それ、何
о,about,について
человек,"person, man, people",人、人、人々
один,"one, 1",1、1
ещё,"still, even, more, else",まだ、さらに、もっと、それ以外
бы,would (be able to),(できるだろう)
такой,"such, so, that sort of",そのような、それで、そのような
только,only,のみ
себя,"oneself, ourselves, yourselves, himself, herself, itself, yourself, myself, themselves",自分、自分、自分、自分、自分、自分、自分、自分、自分自身
какой,"which, what, what kind of",どれ、何、どんな種類の
для,for (the benefit of),（の利益のために）
уже,"already, by this time, by now, ready, no longer",もう、今頃、もう、準備はできています、もうだめです
когда,"when, while, as",いつ、その間、として
кто,who,誰が
вот,"here, there, there is",ここ、そこ、そこにあります
да,yes,はい
год,year,年
знать,"know, be aware, be acquainted, it seems",知っている、知っている、知っている、ようです
если,if,もし
до,to (direction),へ（方向）
говорить,"speak, talk",話す、話す
или,or,または
мой,"my, mine, my people",私の、私の、私の人々
время,"time, times, tense, weather",時間、時間、時制、天気
самый,the most,一番
нет,no,いいえ
ни,neither,どちらでもない
стать,article,記事
большой,"big, large, great, important, grown-up",大きい、大きい、素晴らしい、重要な、大人
наш,"our, ours, our lot",私たちの、私たちの、私たちのロット
даже,even,平
другой,"other, another, another thing, something else, others, the rest",他、別、別のもの、別のもの、その他、残り
свой,one's own (reflexive),自分自身の（反射的に）
дело,"business, work",ビジネス、仕事
под,under,下
где,where,どこ
чтобы,so that,となることによって
ну,well,良い
сам,"ourselves, yourself, oneself, yourselves, himself, herself, itself, themselves",自分たち、自分自身、自分自身、自分自身、自分自身、自分自身、自分自身
есть,to eat,食べる
раз,time,時間
два,"two, 2",2、2
там,"there, later, by and by",そこで、後で、やがて
глаз,eye,目
первый,"first, front, former, earliest",最初、前、前の、最初の
день,"day, daytime",日中、昼間
жизнь,"life, existence",人生、存在
тут,mulberry fruit,桑の実
потом,"afterwards, then, later on, later",その後、その後、その後、その後
очень,"very, very much, greatly",とても、とても、とても
ли,"whether, if",どうか、もし
при,at,で
надо,need,必要
голова,"head, mind, brains, chief, master",頭、心、頭脳、チーフ、マスター
без,without,それなし
видеть,see,見る
теперь,"now, nowadays, today",今、今日、今日
идти,"to go, to walk",行く、歩く
друг,friend,友人
сейчас,"now, just now",今、ちょうど今
дом,"house, home, house-hold",家、家、家庭
тоже,"also, as well, too",また、また、また
после,"after, afterwards, later",その後、その後、その後
можно,one can (it is possible),一つはできる（それは可能です）
слово,word,言葉
через,"across, over, at",横切って、上に、で
место,"place, spot, site, locality",場所、現場、現場、地域
думать,"think, consider, reflect, ponder, believe, intend",考える、考察する、熟考する、熟考する、信じる、意図する
здесь,"here, with us, in this country, about it, in it, at this point",ここで、私たちと一緒に、この国で、それについて、その中で、この時点で
лицо,"face, the right side, person, face to face",顔、右側、人物、対面
тогда,"then, while, at that time, at that moment",それから、その間、その時、その瞬間
ведь,in fact,実際には
новый,new,新しい
каждый,"each, every, everyone",それぞれ、みんな、みんな
хороший,"good, nice",いい、いい
жить,live,ライブ
почему,why,なぜ
сторона,"side, part",側面、部分
смотреть,"to look, to watch",見る、見る
иметь,"to have, keep, hold, possess, carry, be, mean",持つ、保持する、保持する、所有する、運ぶ、存在する、意味する
просто,"it is simple, it is easy, simply",それは簡単です、簡単です、単純です
понять,"understand, comprehend, realize, realise",理解する、理解する、悟る、悟る
делать,"make, do",作る、する
сделать,make,作る
вдруг,"suddenly, all of a sudden, in case",突然、突然、万が一に備えて
никто,"nobody, no one",誰も、誰も
работа,"work, working, job",仕事、仕事、仕事
перед,in front of,の前に
ваш,"your, yours",あなたの、あなたの
