word,translation_en,translation_jp
原来,turn out to be,になることが判明
英语,English,英語
青年,youth,若者
哪,where,どこ
饭,meal,食事
出,out,外
上午,morning,朝
发现,Discover,発見する
阴,Negative,ネガティブ
香,fragrant,香り高い
呢,Woolen cloth,毛織物
不久,soon,すぐ
物理,physics,物理
工厂,factory,工場
解决,solve,解決する
药,medicine,薬
劳动,labor,労働
应该,should,すべき
文化,culture,文化
今年,This year,今年
影响,Influence,影響
最初,initial,イニシャル
下边,below,下に
只,Only,のみ
出现,Appear,現れる
球,ball,ボール
文学,literature,文学
难,Disaster,災害
早晨,morning,朝
关心,care,ケア
读,read,読む
被,quilt,キルト
跳,Jump,ジャンプ
腿,leg,脚
牛奶,milk,牛乳
号,Number,番号
试,try,試す
出租汽车,taxi,タクシー
看,look,見て
比较,Compare,比較する
丰富,Rich,リッチ
篮球,basketball,バスケットボール
数,number,番号
红,red,赤
爱人,spouse,配偶者
健康,healthy,健康
年轻,young,若い
录音,recording,録音
次,Second-rate,二流
上边,above,その上
两,two,二
请,please,お願いします
活动,Activity,活動
新年,new year,新年
起来,stand up,立ち上がる
礼物,Gift,贈り物
跳舞,Dance,ダンス
间,between,間
因为,because,なぜなら
喝,drink,飲む
亮,Bright,明るい
带,bring,持ってくる
不同,different,違う
过,Pass,合格
牛,ox,牛
这里,here,ここ
嘴,Mouth,口
书,Book,本
有,have,持っている
忙,busy,忙しい
春,spring,春
我们,us,私たち
学院,college,カレッジ
许多,many,多くの
那些,Those ones,それらです
时间,time,時間
城,city,市
外边,outside,外
年纪,age,年
碰,bump,バンプ
晴,clear,クリア
倍,times,回
元,Yuan,元
发,hair,髪
留念,Take a souvenir,お土産を持って行きましょう
身体,Body,体
毛,hair,髪
回来,return,戻る
刀,knife,ナイフ
大家,Everyone,みんな
天气,weather,天気
认为,think,考える
房间,Room,部屋
岁,age,年
友好,friendly,フレンドリー
车站,station,駅
挺,quite,とても
负责,Responsible,責任者
准备,Prepare,準備する
下,Down,下
人,people,人々
念,read,読む
作,do,する
让,let,させて
虽然,Although,それでも
散步,walk,歩く
日子,day,日
馆,pavilion,パビリオン
住,live,ライブ
行,OK,わかりました
早,morning,朝
母亲,Mother,母親
树,Tree,木
一般,generally,一般的に
用,use,使用
汉字,Chinese character,漢字
精神,Spirit,精神
特别,special,特別
听说,heard,聞いた
参加,join,参加する
借,borrow,借りる
结果,result,結果
篇,Chapter,章
不如,Not as good as,それほど良くない
拍,shoot,シュート
着,With,と
那里,There,そこには
事情,matter,案件
成绩,score,スコア
月球,Moon,月
起床,get up,起きる
明年,next year,来年
游泳,swim,泳ぐ
十,ten,10
汉语,Chinese,中国語
圆,round,ラウンド
活儿,work,仕事
注意,Notice,知らせ
绿,green,緑
为,for,のために
连_都_,Even _all_,_すべて_でも
门口,doorway,戸口
脸,Face,顔
中间,middle,真ん中
退,retreat,後退
疼,pain,痛み
这样,so,それで
本子,book,本
去,go,行く
除了_以外,except_,を除外する_
十分,very,とても
凉快,cool,いいね
表示,express,急行
全体,All,全て
家庭,family,家族
出来,come out,出てくる
你,you,あなた
该,Should,すべき
确实,really,本当に
重要,important,重要
再,Again,また
方便,convenient,便利
叫,Call,電話
生日,Birthday,誕生日
句,sentence,文
联系,connect,接続する
饺子,dumpling,団子
爱,like,のように
它们,they,彼らは
可以,Can,できる
什么,What,何
中学,middle school,中学校
可能,possible,可能
几,Several,いくつかの
从_到_,from_to_,から_まで
得,have to,しなければならない
市,city,市
上课,Attend class,授業に出席する
新闻,news,ニュース
羊,sheep,羊
请问,Excuse me,すみません
慢,slow,遅い
向,Towards,に向かって
中文,Chinese,中国語
文章,article,記事
发展,develop,開発する
所以,so,それで
信,letter,手紙
抽,smoke,煙
研究,Research,研究
晚饭,dinner,夕食
打,beat,ビート
遍,all over,いたるところ
友谊,friendship,友情
整齐,tidy,きちんとした
老,old,古い
表扬,praise,賞賛
高兴,Happy,ハッピー
句子,sentence,文
敢,dare,敢えて
学,study,勉強
找,try to find,見つけてみる
听,listen,聞く
不但,Not only,それだけではありません
实现,accomplish,成し遂げる
批评,criticize,批判する
刮,shave,剃る
课,class,クラス
过来,come over,やって来る
也,also,また
椅子,Chair,椅子
相信,believe,信じる
一,one,1つ
怕,Afraid,恐れている
久,Long,長さ
前,forward,フォワード
请假,Ask for leave,休暇を求める
收,receive,受け取る
天,sky,空
瓶,bottle,ボトル
喊,call,電話
掉,Lose,失う
预习,Preview,プレビュー
对,right,右
进,Enter,入力
机场,Airport,空港
分钟,minute,分
冬天,winter,冬
表,surface,表面
银行,bank,銀行
为,for,のために
汤,Soup,スープ
进去,go in,入る
互相,each other,お互い
跟,and,そして
睡觉,sleep,寝る
发烧,fever,熱
剩,left,左
还,return,戻る
运动,sports,スポーツ
别,Don't,やめてください
暖和,warm,暖かい
意义,significance,意義
送,deliver,届ける
香蕉,banana,バナナ
后,back,戻る
挂,hang,下がる
病,sick,病気
祖国,motherland,祖国
鱼,fish,魚
星期日,Sunday,日曜日
半,Half,半分
刚,Just,ただ
见面,Meet,会う
需要,need,必要
各,each,それぞれ
清楚,clear,クリア
能,able,できる
放假,Have a holiday,休暇をお過ごしください
跑,run,走る
和,and,そして
回,return,戻る
集合,gather,集める
水平,level,レベル
所有,all,全て
高,high,高い
愿意,willing,喜んで
长,long,長さ
说明,illustrate,説明する
接着,then,それから
满,Full,満杯
记,remember,覚えて
经过,go through,通り抜ける
政府,government,政府
回去,go back,戻ってください
访问,access,アクセス
使用,use,使用
擦,wipe,ワイプ
介绍,introduce,導入
每,Every,毎
但是,but,しかし
胜利,victory,勝利
点心,dessert,デザート
月,moon,月
的,of,の
赢,win,勝つ
东,East,東
来,Come,来る
外国,foreign,外国
要是,if,もし
现代,modern,モダンな
米,rice,米
教,teach,教える
今天,today,今日
有时候,sometimes,時々
容易,easy,簡単
坚持,persist in,持続する
想,think,考える
晚,Night,夜
寒假,winter vacation,冬休み
脏,dirty,汚い
附近,nearby,近く
踢,Kick,キック
件,pieces,個
咱,we,私たちは
谈,talk,話す
团结,unity,団結
啦,La,ラ
讨论,discuss,話し合う
省,Province,州
条,strip,ストリップ
语言,language,言語
政治,politics,政治
增加,Increase,増加
二,two,二
打算,Intend,意図する
而且,and,そして
第,No.,いいえ。
数学,math,数学
封,seal up,封印する
结束,Finish,仕上げる
工作,Work,仕事
伟大,great,素晴らしい
再见,goodbye,さようなら
永远,forever,永遠に
课文,text,文章
国家,nation,国家
不要,don't want,したくない
山,Mountain,山
衣服,clothing,衣類
磁带,tape,テープ
夏天,summer,夏
中,middle,真ん中
信封,envelope,封筒
事,thing,もの
工业,industry,業界
河,river,川
展览,exhibition,展示
床,bed,ベッド
师傅,master,マスター
看病,see a doctor,医師の診察を受ける
大,big,大きい
鞋,shoe,靴
鸡蛋,egg,卵
觉得,feel,感じる
抬,lift,リフト
时候,when,いつ
留,Keep,保つ
画儿,Painting,絵画
部分,part,一部
成,become,なる
文艺,literature and art,文学と芸術
茶,Tea,お茶
雪,Snow,雪
女儿,daughter,娘
足球,football,フットボール
离,Leave,離れる
小,Small,小さい
根,root,根
突然,Sudden,突然
八,eight,八
活,live,ライブ
手表,watch,時計
反对,be opposed to,反対する
从_起,From_,から_
得很,Very,とても
正在,are,は
哥哥,elder brother,兄
乱,chaos,カオス
她,she,彼女
服务,Serve,仕える
当,when,いつ
算,Calculate,計算する
工人,Worker,ワーカー
去年,last year,去年
呐,Na,ナ
锻炼,exercise,エクササイズ
咱们,we,私たちは
