word,translation_en,translation_jp
и,and,そして
в,"in, at, on, within",で、上で、中で
не,not,ない
он,he,彼
на,on (place),の上
я,"I, me, myself",私
что,what,何
тот,"that, that one, those, the other",それ
быть,to be,なれ
с,with,と
а,and (as contrast),あ
весь,village,全て
как,how,どうやって
по,"along, down, through, across",による
но,but,しかし
к,towards,に
у,(possession),で
из,from (the inside of),から
за,behind,のために
так,"so, thus, like this, this way, then",それで
же,"same, again, already",または
сказать,"to say, to tell, to speak, to talk",言う
этот,this,これ
который,"which, that, what",どれの
о,about,について
человек,"person, man, people",人間
один,"one, 1",1つ
ещё,"still, even, more, else",もっと
бы,would (be able to),するだろう
такой,"such, so, that sort of",そのような
только,only,のみ
себя,"oneself, ourselves, yourselves, himself, herself, itself, yourself, myself, themselves",自分自身
какой,"which, what, what kind of",どれの
для,for (the benefit of),のために
уже,"already, by this time, by now, ready, no longer",すでに
когда,"when, while, as",いつ
кто,who,誰が
вот,"here, there, there is",ここ
да,yes,はい
год,year,年
знать,"know, be aware, be acquainted, it seems",知る
если,if,もし
до,to (direction),に
говорить,"speak, talk",話す
или,or,または
мой,"my, mine, my people",私の
время,"time, times, tense, weather",時間
самый,the most,ほとんど
нет,no,いいえ
ни,neither,どちらでもない
стать,article,なる
большой,"big, large, great, important, grown-up",大きい
наш,"our, ours, our lot",私たちの
даже,even,平
другой,"other, another, another thing, something else, others, the rest",別の
свой,one's own (reflexive),私の
дело,"business, work",場合
под,under,下
где,where,どこ
чтобы,so that,に
ну,well,良い
сам,"ourselves, yourself, oneself, yourselves, himself, herself, itself, themselves",自分自身
есть,to eat,がある
раз,time,一度
два,"two, 2",二
там,"there, later, by and by",そこには
глаз,eye,目
первый,"first, front, former, earliest",初め
день,"day, daytime",日
жизнь,"life, existence",人生
тут,mulberry fruit,ここ
потом,"afterwards, then, later on, later",それから
очень,"very, very much, greatly",とても
ли,"whether, if",かどうか
при,at,で
надо,need,必要
голова,"head, mind, brains, chief, master",頭
без,without,それなし
видеть,see,見る
теперь,"now, nowadays, today",今
идти,"to go, to walk",行く
друг,friend,友達
сейчас,"now, just now",今
дом,"house, home, house-hold",家
тоже,"also, as well, too",同じ
после,"after, afterwards, later",後
можно,one can (it is possible),できる
слово,word,言葉
через,"across, over, at",を通して
место,"place, spot, site, locality",場所
думать,"think, consider, reflect, ponder, believe, intend",考える
здесь,"here, with us, in this country, about it, in it, at this point",ここ
лицо,"face, the right side, person, face to face",顔
тогда,"then, while, at that time, at that moment",それから
ведь,in fact,結局
новый,new,新しい
каждый,"each, every, everyone",毎
хороший,"good, nice",良い
жить,live,ライブ
почему,why,なぜ
сторона,"side, part",側
смотреть,"to look, to watch",見て
иметь,"to have, keep, hold, possess, carry, be, mean",持っている
просто,"it is simple, it is easy, simply",ただ
понять,"understand, comprehend, realize, realise",理解する
делать,"make, do",する
сделать,make,する
вдруг,"suddenly, all of a sudden, in case",突然
никто,"nobody, no one",誰でもない
работа,"work, working, job",仕事
перед,in front of,前に
ваш,"your, yours",あなたの
над,"above, over",以上
взять,to take,取る
конечно,certainly,確かに
понимать,"understand, comprehend, realize",理解する
дверь,door,ドア
три,three,三つ
конец,"end, ending",終わり
город,"city, town",市
несколько,some a few several,いくつかの
начать,"begin, start, commence",始める
голос,"voice, part, vote",声
час,"hour, time, hours",時間
пока,bye (informal),さよなら
уж,grass snake,本当に
последний,"last, latest, recent",最後
более,more,もっと
хорошо,"it is good, it is pleasant, well, good",大丈夫
хотя,"although, though, at least, despite",それでも
сила,"power, might, strength, force",強さ
вода,water,水
второй,"second, the latter",2番
увидеть,see,見る
всегда,always,いつも
давать,"give, let",与える
случай,"case or occasion, chance, opportunity, event, incident, occurrence",ハプニング
куда,"where (to), whereto",どこ
пойти,(will) go on foot,行く
стол,table,テーブル
машина,car,車
мир,world,世界
ночь,night,夜
женщина,"woman, women, womanfolk, womankind",女性
остаться,to remain or stay,滞在する
сразу,"immediately, at once",すぐに
совсем,"entirely, totally, completely, quite, at all",全然
выйти,"leave, go out, get out",出て行け
вид,view,ビュー
отец,father,父親
вопрос,question,質問
дать,"give, allocate",与える
работать,"work, operate",仕事
оказаться,to turn out to be,になることが判明
ряд,row,行
почти,"almost, nearly",ほとんど
снова,again (anew),また
старый,"old, ancient",古い
страна,"country, ",国
твой,"your, yours, thy, thine, your people",あなたの
между,between,間
ответить,answer,答え
много,much,多くの
война,"war, warfare",戦争
подумать,"to think a little, for a while",考える
любить,love,愛
белый,white,白
главный,main,主要
лишь,"only, as soon as, merely, just",のみ
опять,again (occurring another time),また
однако,"however, though, but",しかし
правда,truth,真実
посмотреть,"look, watch",見て
никогда,"never, ever",一度もない
будто,"as if, as though",まるで
часть,part,一部
именно,"exactly, namely, to wit, that is, just",その通り
найти,find,探す
дорога,"road, way, journey",道
свет,light,ライト
никакой,"no...at all, no...whatsoever, none",いいえ
окно,"window, casement-window, window-sill, gap, opening, port, slot",ウィンドウ
мать,mother,母親
решить,decide,決める
получить,"receive, get, obtain",得る
улица,street,通り
вернуться,"to return, come back (from)",戻ってくる
вообще,"in general, generally",全然
маленький,"little, small",小さい
считать,"consider, deem, find, think",カウント
комната,room,部屋
вечер,evening,夕方
сегодня,today,今日
душа,soul,魂
книга,"book, volume",本
вместе,together,一緒に
чуть,nearly,少し
пол,"floor, ground",床
помнить,"to remember, recollect, keep in mind",覚えて
сколько,"how much, how many",幾つか
народ,"people, nation",人々
хоть,"though, even",少なくとも
взгляд,"look, gaze, stare",視力
русский,Russian,ロシア
зачем,"what for, why",何のために
история,"history, story, event",話
полный,"full, complete",満杯
узнать,learn,知ること
любой,"any, every, anyone, either",どれでも
ходить,"go, walk, move, pass",歩く
заметить,"notice, note, observe, sight, catch sight, pay heed, remark",知らせ
известный,well-known,有名な
словно,as if like or seemingly,まるで
наконец,"finally, at last",ついに
общий,"common, general, overall",一般的な
имя,"name, first name",名前
назад,"back, backwards",戻る
мысль,thought,考え
уйти,"leave, depart",離れる
быстро,"fast, quickly, rapidly, with speed",速い
давно,"how long, long ago",長い間
слушать,"listen to, hear, attend, examine chest, auscultate, obey",聞く
прямо,straight,直接
разговор,"conversation, talk",話す
долго,"a long time, for a long time",長い間
нельзя,"one cannot, you can't, it's impossible",それは禁止されています
право,right,右
лес,"woods, forest",森
пять,"five, 5",五
сын,son,息子
путь,"way, track, path",パス
пора,it is time to,時間です
кроме,"except, besides",を除外する
оставаться,"remain, stay, be left",滞在する
совершенно,perfectly (adv),絶対に
поэтому,"that is why, therefore, so",それが理由です
написать,write,書く
пусть,let,させて
чувствовать,"to feel, have a sensation, sense, taste",感じる
месяц,month,月
целый,"whole, entire",全体
вести,"to lead, conduct, direct",鉛
молодой,"young, youthful",若い
огромный,"enormous, huge, vast",巨大な
тело,body,体
настоящий,"present, currently",本物
продолжать,"to continue, go on, proceed, extend, prolong",続く
точно,"exactly, precisely, right",その通り
язык,tongue,言語
мама,"mom, mama, mommy, mummy",母親
смерть,death,死
власть,power,力
мальчик,boy,男の子
также,"also, as well, too, either",また
брать,"to take, to get",取る
образ,"shape, form, image",画像
отношение,relationship,態度
сердце,heart,心臓
пройти,pass,合格
вокруг,"around, round, about",その周り
девушка,"girl, lass",若い女性
солдат,"soldier, regular, private",兵士
иногда,"sometimes, at times",時々
забыть,to forget [something],忘れる
вспомнить,"to recall, remember",想起
небо,sky,空
затем,"then, after that, thereupon, upon which, subsequently, for that reason",それから
система,system,システム
воздух,air (usually uncountable),空気
оба,both,両方
собственный,one's own,自分の
находиться,be situated,なれ
держать,"to hold, keep, support",所有
показать,to show,見せる
ребята,"lads, boys, guys",みんな
брат,brother,兄弟
квартира,"flat, quarters",アパート
откуда,from where,どこ
четыре,"four, 4",4
рассказать,to tell,教えて
особенно,particularly,特に
кровь,blood,血
внимание,"attention, notice",注意
поставить,"to put, place",置く
вроде,"seem, think, like, sort of, kind of",のように
например,"for example, for instance",例えば
оставить,to leave leave alone left,離れる
туда,"there, to there",そこには
действительно,"really, actually, indeed",本当に
мало,"little, few, a little bit",少し
школа,"school, schoolhouse",学校
равно,"is indifferent, alike, in like manner, nor",等しい
труд,"work, labor",仕事
сюда,here,ここ
слишком,"too (much), too (more than enough)",過度に
следующий,following,次
парень,"boy, guy, fellow, lad, chap, bloke",男の子
группа,"group, cluster, clump",グループ
солнце,sun,太陽
любовь,love,愛
войти,"enter, go in, come in, include",ログイン
ответ,"answer, reply, response",答え
десять,"ten, 10",10
спать,to sleep,寝る
двадцать,twenty,二十
берег,shore,海岸
помощь,help,ヘルプ
мужчина,man,男
момент,moment (time),一瞬
искать,"to look for, search, seek",検索
газета,"newspaper, paper, daily paper, daily",新聞
против,"against, opposite, facing, contrary to, to, as against",に対して
верить,"to believe, trust",信じる
чувство,"sense, feeling (sensation)",フィーリング
порядок,order of magnitude,注文
семья,family,家族
армия,"army, forces, host",軍
играть,to play,遊ぶ
возможность,"opportunity, chance, means, resources",機会
разве,Really...?,そうじゃない？
впрочем,however,しかし
движение,"movement, motion, stirring",動き
муж,"husband, man",夫
тихо,"quietly, it is calm, it is quiet, softly, gently, faintly, silently",静かな
огонь,fire,火
иной,"different, other, not the same as in another option or choice",他の
бежать,to run,走る
наверное,"probably, maybe, most likely",多分
простой,"simple, easy, common, plain, mere",単純
принять,to take,受け入れる
угол,"corner, angle, home",コーナー
смысл,"meaning, sense, significance",意味
открыть,"to open, to unbar, to turn on",開ける
общество,society,社会
военный,(relational) war,軍隊
дерево,"tree, wood",木
снег,snow,雪
либо,or,または
ехать,"to go (by horse or vehicle), drive, ride",ドライブ
очередь,"queue, line",列
форма,"form, shape, mound",形状
закон,"law, act, statute",法
собака,dog,犬
домой,"homeward, home, to one's home",家
попасть,to get (to),入れ
состояние,the state (the condition of somethings existence),州
сон,dream,夢
часто,"often, frequently",頻繁
девочка,"girl, little girl, girlie",女の子
камень,"stone, rock",石
сначала,"firstly, at first, all over again, afresh",初めに
ветер,"wind, breeze",風
проблема,problem,問題
связь,"connection, link, bond, touch",繋がり
номер,"number, size, room, issue, item on the programme, turn, trick",番号
средство,remedy,手段
единственный,"only, the only",唯一の人
действие,action,アクション
ход,"motion, run, speed, way, course, progress",動く
государство,State,州
российский,Russian (related to the state),ロシア
глава,"head, chief",章
партия,"party, detachment, group, set",パーティー
край,"edge (border, end), brim, brink, side, line",角
вперёд,"forward (куда) about direction, ahead",フォワード
судьба,"fate, fortune, destiny",運命
речь,"Talk about, speech, enunciation, style of speaking, language, discourse, oration, address",スピーチ
заниматься,to be engaged,勉強
вполне,fully entirely or perfectly,とても
причина,reason,原因
никак,in no way,とんでもない
страх,fear,恐れ
едва,"hardly, only just, scarcely, just, barely",かろうじて
море,"sea, ocean",海
зал,"hall, audience chamber, reception-room",ホール
врач,doctor,医者
возле,"near, beside, by",近く
довольно,"enough, sufficient",十分
основной,basic,基本的な
