word,translation
и,"and"
в,"in, at, on, within"
не,"not"
он,"he"
на,"on (place)"
я,"I, me, myself"
что,"what"
тот,"that, that one, those, the other"
быть,"to be"
с,"with"
а,"and (as contrast)"
весь,"village"
как,"how"
по,"along, down, through, across"
но,"but"
к,"towards"
у,"(possession)"
из,"from (the inside of)"
за,"behind"
так,"so, thus, like this, this way, then"
же,"same, again, already"
сказать,"to say, to tell, to speak, to talk"
этот,"this"
который,"which, that, what"
о,"about"
человек,"person, man, people"
один,"one, 1"
ещё,"still, even, more, else"
бы,"would (be able to)"
такой,"such, so, that sort of"
только,"only"
себя,"oneself, ourselves, yourselves, himself, herself, itself, yourself, myself, themselves"
какой,"which, what, what kind of"
для,"for (the benefit of)"
уже,"already, by this time, by now, ready, no longer"
когда,"when, while, as"
кто,"who"
вот,"here, there, there is"
да,"yes"
год,"year"
знать,"know, be aware, be acquainted, it seems"
если,"if"
до,"to (direction)"
говорить,"speak, talk"
или,"or"
мой,"my, mine, my people"
время,"time, times, tense, weather"
самый,"the most"
нет,"no"
ни,"neither"
стать,"article"
большой,"big, large, great, important, grown-up"
наш,"our, ours, our lot"
даже,"even"
другой,"other, another, another thing, something else, others, the rest"
свой,"one's own (reflexive)"
дело,"business, work"
под,"under"
где,"where"
чтобы,"so that"
ну,"well"
сам,"ourselves, yourself, oneself, yourselves, himself, herself, itself, themselves"
есть,"to eat"
раз,"time"
два,"two, 2"
там,"there, later, by and by"
глаз,"eye"
первый,"first, front, former, earliest"
день,"day, daytime"
жизнь,"life, existence"
тут,"mulberry fruit"
потом,"afterwards, then, later on, later"
очень,"very, very much, greatly"
ли,"whether, if"
при,"at"
надо,"need"
голова,"head, mind, brains, chief, master"
без,"without"
видеть,"see"
теперь,"now, nowadays, today"
идти,"to go, to walk"
друг,"friend"
сейчас,"now, just now"
дом,"house, home, house-hold"
тоже,"also, as well, too"
после,"after, afterwards, later"
можно,"one can (it is possible)"
слово,"word"
через,"across, over, at"
место,"place, spot, site, locality"
думать,"think, consider, reflect, ponder, believe, intend"
здесь,"here, with us, in this country, about it, in it, at this point"
лицо,"face, the right side, person, face to face"
тогда,"then, while, at that time, at that moment"
ведь,"in fact"
новый,"new"
каждый,"each, every, everyone"
хороший,"good, nice"
жить,"live"
почему,"why"
сторона,"side, part"
смотреть,"to look, to watch"
иметь,"to have, keep, hold, possess, carry, be, mean"
просто,"it is simple, it is easy, simply"
понять,"understand, comprehend, realize, realise"
делать,"make, do"
сделать,"make"
вдруг,"suddenly, all of a sudden, in case"
никто,"nobody, no one"
работа,"work, working, job"
перед,"in front of"
ваш,"your, yours"
над,"above, over"
взять,"to take"
конечно,"certainly"
понимать,"understand, comprehend, realize"
дверь,"door"
три,"three"
конец,"end, ending"
город,"city, town"
несколько,"some a few several"
начать,"begin, start, commence"
голос,"voice, part, vote"
