word,translation_en,translation_jp
قلم رصاص,pencil,鉛筆
بطاقة مرور,credit card,クレジットカード
حجر,stone,石
تفاحة,تفاحة,いいえ
ردة فعل,ردة فعل,いいえ
حصة,share,共有
تيار كهربائي,electric current,電流
نجاح,success,成功
مالك,owner,所有者
هجوم,attack,攻撃
دائرة,circle,丸
دقيقة,minute,分
فصيلة,فسيلة,ああ
عربة,عربة,ああ
سيولة,سيولة,やあ
انطباع,impression,印象
حبر,حبر,୨୧
قمر,قمر,୨୧
محكمة,court,裁判所
يوم,يوم,やす
حرير,حرير,୨୧୨୧
مقبض,handle,ハンドル
رأي,see,見る
زوج,husband,夫
درجة,degree,程度
ألم,علم,ああ
معيار,standard,標準
كلما,the word,言葉
خريف,autumn,秋
اجتماع,gathering,集まる
اختصاصي,specialist,スペシャリスト
أذن,ear,耳
خروف,Lamb,子羊
تقسيم,division,分割
درج,insert,入れる
أنف,breath,呼吸
ضد,against,に対して
لغة,language,言語
خط,letter,手紙
شمس,Shams,シャムス
مستحق,deserved,当然のこと
طيران,flight,フライト
سلاح,weapon,武器
خطاف,ختاف,ああ
متى,when,いつ
طابق,match,マッチ
إيقاع,rhythm,リズム
عن طريق,عرض المزيد,認証済み
بلعوم,بلعوم,और देखें
بيت شعري,بيت شعري,୨୧୨୧
دماغ,nose,鼻
دبوس,دبوس,୨୧
موكل,موقل,ああ
مضخة,pump,ポンプ
أرضية,earth,地球
نظرية,theory,理論
وزير,minister,大臣
مزرعة,Farm,農場
قبعة,hat,帽子
شعب,شعب,ああ
حجة,Hajja,ハジャ
ذكر,ذكر,やあ
مرحلة,stage,ステージ
ولادة,ولادة,ありがとう
أنفسهم,themselves,彼ら自身
إيمان,Faith,信仰
أداة,tool,道具
طائرة,jet,ジェット
عربة يدوية,Handcart,手押し車
حرارة,heat,熱
شيء ما,شيء ما,ああ
سلطة,salad,サラダ
ستارة,Star,星
قمة,top,トップ
محطة,station,駅
وجه,face,顔
سياسة,policy,ポリシー
رأس مال,راس مال,大事なこと
سيارة,car,車
رقم,figure,形
زيادة,increase,増加
تنوع,diversity,多様性
بناء,build,建てる
شراب,wine,ワイン
سائل,question,質問
مَن,من,マナ
مدرسة,school,学校
قفزة,jump,ジャンプ
جمهور,audience,観客
نمط,pattern,パターン
ملابس,clothes,服
منظمة,organization,組織
دعابة,دعابة,ああ
موافق,موافق,ああ
نفس,breath,呼吸
زواج,marriage,結婚
أنبوب,pipe,パイプ
كاتب عدل,notary public,公証人
عمر,Omar,オマル
مسافة واسعة,wide distance,遠距離
رحلة,trip,旅行
رضيع,رضيع,ラス
حركة,movement,動き
مستوى,level,レベル
حد,limit,限界
باقي,the rest,残り
استراتيجية,strategy,戦略
نفط,oil,油
قوة,power,力
آلة,machine,機械
جنوب,south,南
معدن,mine,私の
لـَ,لـَ,ـَ
نصل,نصل,いいえ
قاضي,the judge,裁判官
لون,loan,ローン
ظفر,ثفر,ああ
جسم,body,体
علم,علم,ああ
جوز,you know,あなたが知っている
حديد,Hadid,ハディド
