word,translation_en,translation_jp
een weg,a road,道路
het rundvlees,the beef,牛肉
een schaap,a sheep,羊
het tapijt,the carpet,カーペット
een ingenieur,an engineer,エンジニア
het konijn,the rabbit,ウサギ
meer,more,もっと
de druif,the grape,ブドウ
misschien,maybe,多分
de politie,the police,警察
de week,the week,その週
een koe,a cow,牛
de vrucht,the fruit,果物
een aansteker,a lighter,ライター
geven,give,与える
de bus,the bus,バス
het eten,the food,食べ物
de etage,the floor,床
eindigen,end,終わり
slapen,to sleep,寝る
de taxi,the taxi,タクシー
het avondeten,dinner,夕食
het bloed,the blood,血
let op!,NB!,注意！
een huis,a house,家
de universiteit,the university,大学
het blad,the leaf,葉
een jaar,one year,1年
klein,small,小さい
niemand,no one,誰も
samen,together,一緒に
vol,full,満杯
de soep,the soup,スープ
rood,red,赤
een mes,a knife,ナイフ
een man,a man,男
de muur,the wall,壁
de productie,the production,生産
de kers,the cherry,桜
de vloer,the floor,床
het beroep,the profession,職業
de boer,the farmer,農夫
een wolf,a wolf,オオカミ
de flat,the apartment,アパート
het westen,the west,西
aandoen,to affect,影響を与える
ik studeer in Parijs,I study in Paris,私はパリで勉強しています
de familie,the family,家族
het gordijn,the curtain,カーテン
het adres,the address,住所
de zus,the sister,妹
aansteken,light,ライト
een grootmoeder,a grandmother,おばあちゃん
een station,a station,駅
de koffie,the coffee,コーヒー
de mug,the mosquito,蚊
het hart,the heart,心
het toilet,the toilet,トイレ
het goud,the gold,金
de feestdag,the holiday,休日
ik ben twintig jaar,I am twenty years old,私は二十歳です
de echtgenote,the wife,妻
sterk,strong,強い
buitenlands,foreign,外国
de bloem,the flower,花
de vakbond,the union,組合
een jurk,a dress,ドレス
besturen,control,コントロール
een beroep,a profession,職業
een broek,pants,パンツ
afwezig,absent,不在
schoon,beautiful,美しい
gaan,to go,持ち帰り
een jongeman,a young man,若い男
het schaap,the sheep,羊
een tapijt,a carpet,カーペット
een konijn,a rabbit,ウサギ
een pan,a pan,鍋
ontwaken,awaken,目覚める
alstublieft,Please,お願いします
de priester,the priest,司祭
de leerkracht,the teacher,先生
we,we,私たちは
de minuut,the minute,その分
de grootmoeder,the grandmother,おばあさん
een vork,a fork,フォーク
drinken,drinks,飲み物
de kerk,the church,教会
nemen,to take,取る
wonen,live,ライブ
het vlees,the meat,肉
daar,there,そこには
jong,young,若い
het vuur,the fire,火
een handtas,a handbag,ハンドバッグ
de haren,the hair,髪
herhalen,repeat,繰り返す
morgen,tomorrow,明日
vrij,free,無料
de dokter,the doctor,医者
(de) morgen,(the) morning,（その）朝
een kast,a closet,クローゼット
God,God,神
een ziekenhuis,a hospital,病院
een grens,a border,国境
een deken,a blanket,毛布
begrijpen,understand,理解する
nooit,never,一度もない
de jas,the jacket,ジャケット
de dood,death,死
(de) ochtend,(the) morning,（その）朝
de postzegel,the postage stamp,切手
een uur,one hour,1時間
een zuigeling,an infant,幼児
een reis,a journey,旅
de kop,the head,頭
vals,false,間違い
het middageten,the lunch,昼食
de handelaar,the trader,トレーダー
de militair,the soldier,兵士
de haven,the harbour,港
bellen,to call,電話する
het vak,the profession,職業
de liefde,the love,愛
wakker worden,wake up,起きろ
de broer,the brother,兄弟
een maaltijd,a meal,食事
de appel,the apple,リンゴ
een fiets,a bicycle,自転車
een examen,an exam,試験
de verloofde,the fiancée,婚約者
de huid,the skin,皮膚
de keuken,the kitchen,キッチン
de religie,the religion,宗教
het lokaal,the room,部屋
een trein,a train,電車
het appartement,the apartment,アパート
de vrede,the peace,平和
ik weet het niet,I don't know,わからない
de wc,the toilet,トイレ
doven,deaf,聴覚障害者
duur,duration,間隔
de belastingen,the taxes,税金
een tafel,a table,テーブル
een contract,a contract,契約
maandag,Monday,月曜日
het licht,the light,光
aids,AIDS,エイズ
de maan,the moon,月
de arts,the doctor,医者
een bank,a sofa,ソファ
een televisie,a television,テレビ
een bad nemen,take a bath,お風呂に入る
ik,I,私
een vriend,a friend,友人
het examen,the exam,試験
lang,long,長さ
een buurman,a neighbor,隣人
een blad,a leaf,葉っぱ
het jaar,the year,年
een muis,a mouse,マウス
een lokaal,a local,地元の
spreken,speak,話す
laat,leave,離れる
veraf,far,遠い
de benzine,the gasoline,ガソリン
de cultuur,the culture,文化
een oma,a grandmother,おばあちゃん
de dag,the day,その日
een verkoudheid,a cold,風邪
het leven,life,人生
aangenaam!,nice to meet you!,はじめまして！
de brief,the letter,手紙
vreemd,foreign,外国
de handel,the trade,貿易
een taart,a cake,ケーキ
een hoed,a hat,帽子
het plafond,the ceiling,天井
dicht doen,close,近い
de voet,the foot,足
de verkoudheid,the cold,寒さ
uitgaan,going out,出かける
het theater,the theater,劇場
een student,a student,学生
een kip,a chicken,鶏
een vertaler,a translator,翻訳者
zondag,Sunday,日曜日
de huur,the rent,家賃
een groente,a vegetable,野菜
het kaartje,the ticket,チケット
de koelkast,the refrigerator,冷蔵庫
