filename,alphaidx,text
rus-eaec5f65.flac,стеклянный,стеклянный
rus-23e5c3f7.flac,лысый,лысый
rus-56bb8f8a.flac,кусачки,кусачки
rus-9eb1a101.flac,чувство,чувство
rus-686c2d4f.flac,юрист,юрист
rus-ae360404.flac,слава,слава
rus-aac190a5.flac,воробей,воробей
rus-014492ab.flac,ноты|нота,ноты
rus-583e1ab7.flac,отдельный,отдельный
rus-f003b44f.flac,усиливать,усиливать
rus-8cbe0981.flac,наследник,наследник
rus-9b859533.flac,заменять,заменять
rus-7701fe97.flac,город,город
rus-1ab9e2b8.flac,картофелина,картофелина
rus-85c47b55.flac,солнце|садиться,солнце садится
rus-e742aa37.flac,смерть,смерть
rus-a380cd20.flac,застывать,застывать
rus-df88a64e.flac,прохожий,прохожий
rus-ca0c7156.flac,личный,личный
rus-9cf0e006.flac,теннис,теннис
rus-cf2b35cd.flac,погнать,погнать
rus-5501627a.flac,масса,масса
rus-d452252f.flac,дешёвый,дешевле
rus-a5d0e650.flac,тёмный,тёмный
rus-c6e491a7.flac,утверждение,утверждение
rus-23739ba0.flac,учиться,учиться
rus-658a76b7.flac,засекреченный,засекреченный
rus-4e83dc1f.flac,доклад,доклад
rus-2aac9cda.flac,пережить,пережить
rus-245513a5.flac,надёжный,надёжный
rus-2cdce1d4.flac,скромный,скромный
rus-fabe478d.flac,подписать,подписать
rus-e82140a7.flac,слабеть,слабеть
rus-b9c9785e.flac,вождь,вождь
rus-8ca8325d.flac,граница,граница
rus-9293c08c.flac,посоветовать,посоветовать
rus-ccf3c362.flac,пытаться,пытаться
rus-648a6492.flac,кличка,кличка
rus-79e1d2c7.flac,заранее,заранее
rus-989b4f16.flac,остальной,остальной
rus-ba963ee8.flac,смелый,смелый
rus-731d762f.flac,национальный,национальный
rus-4e8fd0b9.flac,где-то,где-то
rus-11d37041.flac,объявить,объявить
rus-ebe3a586.flac,тунец,тунец
rus-049506f0.flac,среда,среда
rus-63c09af0.flac,сзади,сзади
rus-7918cfa2.flac,ложиться,ложиться
rus-b9d5eed9.flac,признак,признак
rus-16128872.flac,учёба,учёба
rus-63124315.flac,сойти,сойти
rus-2594a799.flac,считаться,считаться
rus-1a853709.flac,сложиться,сложиться
rus-146b18ee.flac,столовая,столовая
rus-b8f07e78.flac,куриный,куриный
rus-39a1a233.flac,матрас,матрас
rus-c81025e1.flac,предать,предать
rus-4f2dc347.flac,свинья,свинья
rus-87851af1.flac,специальный,специальный
rus-ed39059f.flac,успокаивать,успокаивать
rus-374d8271.flac,восстание,восстание
rus-61770d59.flac,восемьдесят,восемьдесят
rus-4f701d27.flac,облако,облако
rus-81e3bc8f.flac,безусловно,безусловно
rus-0b006d48.flac,фантастический,фантастический
rus-58f8d414.flac,унизительный,унизительный
rus-cd436926.flac,бок,бок
rus-9451eb2b.flac,испанец,испанец
rus-85fcdc26.flac,столица,столица
rus-5fa0a3cd.flac,паутина,паутина
rus-90bd79ad.flac,большой|палец,большой палец
rus-436f4784.flac,голубка,голубка
rus-14209a8e.flac,этаж,этаж
rus-6766a4a6.flac,страстный,страстный
rus-bff63ff6.flac,пообщаться,пообщаться
rus-fa711546.flac,сохранять,сохранять
rus-44b5422e.flac,уличный,уличный
rus-0712df37.flac,раб,раб
rus-b0af2fa0.flac,житель,житель
rus-14e7dd49.flac,потемнеть,потемнеть
rus-43076378.flac,клюв,клюв
rus-ccdb70bf.flac,подражание,подражание
rus-1b68568d.flac,конюшня,конюшня
rus-a8127bff.flac,косвенный,косвенный
rus-3a9b96ea.flac,наливать,наливать
rus-becbcb80.flac,паспорт,паспорт
rus-a838484d.flac,наука,наука
rus-ec44e385.flac,приглашение,приглашение
rus-88c8edcd.flac,блюдце,блюдце
rus-b42f7df4.flac,поползти,поползти
rus-7d3627ff.flac,уплатить,уплатить
rus-395fc2b6.flac,придать,придать
rus-3adb62d4.flac,нагревать,нагревать
rus-9950a226.flac,способствовать,способствовать
rus-7d6e191a.flac,раньше|ранний|рано,раньше
rus-dacef6e7.flac,противный,противный
rus-00889c16.flac,дно,дно
rus-237241ca.flac,предпринять,предпринять
rus-8c63f023.flac,действовать,действовать
rus-804ed93f.flac,набор,набор
rus-0e64a40f.flac,рецепт,рецепт
rus-b91da121.flac,отпадать,отпадать
rus-1efe801c.flac,переводить,переводить
rus-a2d53d13.flac,лишний,лишний
rus-6e4e9562.flac,напротив,напротив
rus-af240549.flac,миллион,миллион
rus-2590f50a.flac,дальнейший,дальнейший
rus-cfcd1486.flac,употребить,употребить
rus-45de853c.flac,идеология,идеология
rus-977fa0d3.flac,наполнять,наполнять
rus-69c185f7.flac,подъезд,подъезд
rus-94d68143.flac,выполнение,выполнение
rus-8ea7674d.flac,жильё,жильё
rus-5c4f78e7.flac,издавать,издавать
rus-22604c4e.flac,придавать,придавать
rus-4c5913c2.flac,обеспокоить,обеспокоить
rus-1c263a79.flac,пингвин,пингвин
rus-627068de.flac,период,период
rus-4cdc9efd.flac,едва,едва
rus-0c7a4a1b.flac,предъявить,предъявить
rus-0702906a.flac,лёгкий,легче
rus-4387d9bb.flac,организация,организация
rus-1bae52c4.flac,спешить,спешить
rus-3ed596c8.flac,экскурсия,экскурсия
rus-51e7f1eb.flac,подлинный,подлинный
rus-e35523c8.flac,областной,областной
rus-1021a80f.flac,лоб,лоб
rus-201daa71.flac,красота,красота
rus-ce93186f.flac,лента,лента
rus-8d5194cd.flac,пожалуйста,пожалуйста
rus-83fd8231.flac,подарить,подарить
rus-0640f8d6.flac,втроём,втроём
rus-5c05deef.flac,портативный,портативный
rus-2dff7bc7.flac,напасть,напасть
rus-d5707cfc.flac,оканчивать,оканчивать
rus-e188bd76.flac,ладно,ладно
rus-292fc0a9.flac,полуостров,полуостров
rus-cfb2a836.flac,зажечь,зажечь
rus-3441a20c.flac,нога,нога
rus-cdc855fc.flac,отличаться,отличаться
rus-c64a48d2.flac,выслать,выслать
rus-0af70e17.flac,зарплата,зарплата
rus-b97ff811.flac,циркуль,циркуль
rus-ae7fc757.flac,копейка,копейка
rus-ad159e7c.flac,столетие,столетие
rus-c73a18b9.flac,выбросить,выбросить
rus-d742d4e7.flac,шум,шум
rus-cc50de21.flac,одновременный,одновременный
rus-e12d190b.flac,изменение,изменение
rus-1091d53d.flac,прибывать,прибывать
rus-db3d02eb.flac,абажур,абажур
rus-cf6dcbd7.flac,меньшинство,меньшинство
rus-1e6d4b58.flac,самостоятельность,самостоятельность
rus-f807f0ea.flac,налим,налим
rus-9fccaf7b.flac,порождать,порождать
rus-8dac0500.flac,западный,западный
rus-63c6d3c8.flac,техник,техник
rus-d1e3a8df.flac,посадить,посадить
rus-2f94c672.flac,таможня,таможня
rus-2cf26831.flac,влюбиться,влюбиться
rus-28e9480c.flac,опилка,опилки
rus-b8164ecb.flac,язык,язык
rus-d2ae6a76.flac,находиться,находиться
rus-007ea5d0.flac,грамматика,грамматика
rus-b95c529f.flac,отрывать,отрывать
rus-5703d8ad.flac,стадион,стадион
rus-4a89509d.flac,влиять,влиять
rus-80e3045a.flac,выспаться,выспаться
rus-3958f54b.flac,лесной|земляника,лесная земляника
rus-0790343f.flac,скала,скала
rus-5a62cccd.flac,участие,участие
rus-831bbc21.flac,самый,самый
rus-36e1c372.flac,утешение,утешение
rus-c6f45261.flac,в|запас,в запасе
rus-5aabc3c9.flac,заключить,заключить
rus-a78076f4.flac,день|рождение,день рождения
rus-a97f6660.flac,семнадцать,семнадцать
rus-3463faf6.flac,июль,июль
rus-614c9064.flac,стесняться,стесняться
rus-47cb29b0.flac,восемь,восемь
rus-483a249a.flac,передовой,передовой
rus-11fa5b16.flac,телеуправление,телеуправление
rus-62cb6799.flac,тревога,тревога
rus-cc6d4cdc.flac,первый,первый
rus-19e34a49.flac,принятие,принятие
rus-d2aadbb5.flac,в|время,во время
rus-b76094fa.flac,измерять,измерять
rus-e665f1ee.flac,потому|что,потому что
rus-8b9c0ca8.flac,выпустить,выпустить
rus-2e78b234.flac,обладать,обладать
rus-d6a1428d.flac,лавр,лавр
rus-1bbc4756.flac,цветной,цветной
rus-48c367bb.flac,надоесть,надоесть
rus-4026d98c.flac,божий|коровка,божья коровка
rus-c27421ed.flac,пропадать,пропадать
rus-7d88d441.flac,уложить,уложить
rus-4204bf62.flac,возмутиться,возмутиться
rus-ff34dd3f.flac,недостаток,недостаток
rus-8e9bbc24.flac,двинуться,двинуться
rus-87ffe381.flac,пить,пить
rus-b7eedd18.flac,доказательство,доказательство
rus-28da19a1.flac,проблема,проблема
rus-8b35582e.flac,чашка,чашка
rus-582288c4.flac,сливки,сливки
rus-66e953d9.flac,отложить,отложить
rus-f854b398.flac,стих,стихи
rus-83f9ddf8.flac,встреча,встреча
rus-817eefec.flac,беда,беда
rus-0a81b28d.flac,ботинок,ботинок
rus-f8b65b5a.flac,целиком,целиком
rus-2fc182f3.flac,кресло,кресло
rus-16de4096.flac,острый,острый
rus-f3874bb2.flac,высказать,высказать
rus-60ada4ed.flac,лопата,лопата
rus-374f1191.flac,каменный,каменный
rus-75d628cf.flac,согласный,согласен
rus-090e4805.flac,платок,платок
rus-63dd550b.flac,достичь,достичь
rus-82d67f61.flac,ассимилировать,ассимилировать
rus-4e16732d.flac,обратно,обратно
rus-cb3d69a2.flac,обманывать,обманывать
rus-ee90c4a7.flac,темно,темно
rus-f911ccfa.flac,отчаяние,отчаяние
rus-e0b5b2f0.flac,бюро,бюро
rus-07f5d8cb.flac,выражение,выражение
rus-69c19a67.flac,балык,балык
rus-e99d2b44.flac,торт,торт
rus-4ddbc5a4.flac,баки,баки
rus-53339860.flac,двор,двор
rus-3ff5e6ea.flac,скрипач,скрипач
rus-6813a633.flac,правота,правота
rus-b5613234.flac,улучшить,улучшить
rus-d68819e2.flac,омлет,омлет
rus-874604c3.flac,хранить,хранить
rus-ff234c9f.flac,моросить,моросить
rus-66da3f42.flac,велосипед,велосипед
rus-9fc6580b.flac,прилетать,прилетать
rus-096baeca.flac,приятно,приятно
rus-69257d1e.flac,удивить,удивить
rus-25011766.flac,успокоить,успокоить
rus-d55cd0c4.flac,основной,основной
rus-d056b3d0.flac,заставить,заставить
rus-4ff1aa0b.flac,царский,царский
rus-c8278a2d.flac,проспект,проспект
rus-adb3ca59.flac,обеспеченный,обеспеченный
rus-747bb24d.flac,картуз,картуз
rus-51b15e3d.flac,ваш,ваш
rus-9861053e.flac,запад,запад
rus-5a51138b.flac,войско,войско
rus-92ad447c.flac,заведовать,заведовать
rus-cb9d1bd4.flac,пианист,пианист
rus-0a5ada7f.flac,гудок,гудок
rus-757e0d5c.flac,неизвестно,неизвестно
rus-02c0b894.flac,соседний,соседний
rus-c389d5f2.flac,секрет,секрет
rus-1c741392.flac,сравнение,сравнение
rus-c397d6f0.flac,шинель,шинель
rus-83776651.flac,протечь,протечь
rus-871c6ebe.flac,сентябрь,сентябрь
rus-1ab69501.flac,допускать,допускать
rus-0bb7d6d0.flac,герой,герой
rus-68b953e7.flac,приближаться,приближаться
rus-f4e5ee73.flac,небольшой,небольшой
rus-8e52a336.flac,отказывать,отказывать
rus-a5b53e38.flac,духи,духи
rus-86ff1367.flac,предел,предел
rus-98459dec.flac,частный,частный
rus-2dc53cc6.flac,превращение,превращение
rus-4c8f1b6e.flac,истратить,истратить
rus-249ba56c.flac,перестраивать,перестраивать
rus-2c4a36ef.flac,отвёртка,отвёртка
rus-12fa2acf.flac,фамилия,фамилия
rus-19ea8b11.flac,километр,километр
rus-551cda3e.flac,статья,статья
rus-ecf22c4b.flac,клясться,я клянусь!
rus-f09d549f.flac,газетный,газетный
rus-fd7ef220.flac,билет,билет
rus-c5c17dc3.flac,надоедать,надоедать
rus-c04fba12.flac,лощина,лощина
rus-18526717.flac,зреть,зреть
rus-bc0a658c.flac,кухня,кухня
rus-3f17e80f.flac,цветок,цветок
rus-6328b9ed.flac,любоваться,любоваться
rus-b80cb3af.flac,добыча,добыча
rus-64bbfbb1.flac,шёлк,шёлк
rus-4a682284.flac,рекомендовать,рекомендовать
rus-039d146f.flac,отпечаток|палец,отпечаток пальца
rus-2289545e.flac,соревнование,соревнование
rus-9eeb75d4.flac,принять|душ,принять душ
rus-c89555f7.flac,кладбище,кладбище
rus-3d262ff8.flac,подъехать,подъехать
rus-5ab9d83a.flac,в|щека,в щёке
rus-48826981.flac,миг,миг
rus-0dabae3c.flac,сократить,сократить
rus-abbe5ffc.flac,форточка,форточка
rus-b0e10a51.flac,поблагодарить,поблагодарить
