word,translation_en,translation_jp
ieri,Yesterday,昨日
il cuore,the heart,心
un francobollo,a stamp,スタンプ
un immobile,a property,財産
un lupo,a wolf,オオカミ
la neve,the snow,雪
una camicia,a shirt,シャツ
la carne,the meat,肉
un porto,a port,港
una casa,a house,家
caldo,heat,熱
un partito,a party,パーティー
un dente,a tooth,歯
il tè,tea,お茶
una coperta,a blanket,毛布
una ragazza giovane,a young girl,若い女の子
il pepe,the pepper,コショウ
una scuola,a school,学校
provare,try,試す
un frigorifero,a refrigerator,冷蔵庫
dimenticare,forget,忘れる
una lettera,a letter,手紙
un zaino,a backpack,バックパック
un maestro,a master,マスター
ricordarsi,remember,覚えて
bagnarsi,get wet,濡れる
un telefono,a telephone,電話
benvenuto !,welcome !,いらっしゃいませ ！
martedì,Tuesday,火曜日
l'industria,the industry,業界
solo,Alone,一人で
un tappeto,a carpet,カーペット
una porta,a door,ドア
malato,sick,病気
la verdura,the vegetables,野菜
scrivere,write,書く
a presto !,Soon !,すぐ ！
difficile,difficult,難しい
l'Aids,AIDS,エイズ
oggi,Today,今日
pieno,full,満杯
l'uscita,the exit,出口
il vino,the wine,ワイン
molto,Very,とても
bisogna ...,must ...,しなければならない ...
un infante,an infant,幼児
un ragazzino,a little boy,小さな男の子
il formaggio,the cheese,チーズ
un'albicocca,an apricot,アプリコット
la direzione,the direction,方向
prendere,take,取る
il matrimonio,the wedding,結婚式
un viaggio,a trip,旅行
anziano,elderly,お年寄り
ancora,Still,まだ
apportare,make,作る
uscire,go out,外出
una frontiera,a frontier,フロンティア
un ristorante,a restaurant,レストラン
un canale,a channel,チャンネル
il latte,milk,牛乳
un istitutore,an instructor,インストラクター
la colazione,breakfast,朝食
una stanza,a room,部屋
buono,Good,良い
la birra,the beer,ビール
un foglio,a sheet,シート
ascoltare,listen,聞く
un'isola,an island,島
un pompiere,a fireman,消防士
un lavoratore,a worker,労働者
una ciliegia,a cherry,さくらんぼ
il caffè,the coffee,コーヒー
una finestra,a window,窓
il pranzo,lunch,ランチ
un lago,a lake,湖
